,min_temp
927,-76.0
928,-75.0
929,-76.0
930,-76.0
931,-74.0
932,-78.0
933,-75.0
934,-75.0
935,-77.0
936,-76.0
937,-74.0
938,-77.0
939,-76.0
940,-77.0
941,-76.0
942,-80.0
943,-76.0
944,-77.0
945,-77.0
946,-77.0
947,-76.0
948,-77.0
949,-79.0
950,-80.0
951,-77.0
952,-77.0
953,-78.0
954,-75.0
955,-76.0
956,-76.0
957,-78.0
958,-79.0
959,-77.0
960,-77.0
961,-76.0
962,-78.0
963,-78.0
964,-78.0
965,-78.0
966,-77.0
967,-77.0
968,-79.0
969,-77.0
970,-78.0
971,-78.0
972,-79.0
973,-76.0
974,-77.0
975,-80.0
976,-78.0
977,-78.0
978,-82.0
979,-77.0
980,-77.0
981,-81.0
982,-79.0
983,-80.0
984,-80.0
985,-77.0
986,-77.0
987,-79.0
988,-80.0
989,-78.0
990,-79.0
991,-77.0
992,-78.0
993,-77.0
994,-76.0
995,-78.0
996,-77.0
997,-79.0
998,-77.0
999,-80.0
1000,-79.0
1001,-79.0
1002,-78.0
1003,-77.0
1004,-78.0
1005,-79.0
1006,-80.0
1007,-84.0
1008,-81.0
1009,-79.0
1010,-78.0
1011,-82.0
1012,-79.0
1013,-78.0
1014,-82.0
1015,-81.0
1016,-79.0
1017,-80.0
1018,-79.0
1019,-79.0
1020,-80.0
1021,-79.0
1022,-79.0
1023,-80.0
1024,-81.0
1025,-80.0
1026,-81.0
1027,-79.0
1028,-79.0
1029,-80.0
1030,-79.0
1031,-79.0
1032,-80.0
1033,-79.0
1034,-80.0
1035,-81.0
1036,-81.0
1037,-82.0
1038,-82.0
1039,-80.0
1040,-81.0
1041,-82.0
1042,-81.0
1043,-82.0
1044,-80.0
1045,-81.0
1046,-82.0
1047,-82.0
1048,-82.0
1049,-82.0
1050,-82.0
1051,-82.0
1052,-80.0
1053,-80.0
1054,-81.0
1055,-82.0
1056,-82.0
1057,-80.0
1058,-82.0
1059,-84.0
1060,-84.0
1061,-84.0
1062,-82.0
1063,-82.0
1064,-82.0
1065,-80.0
1066,-83.0
1067,-84.0
1068,-86.0
1069,-86.0
1070,-84.0
1071,-84.0
1072,-84.0
1073,-84.0
1074,-89.0
1075,-85.0
1076,-87.0
1077,-87.0
1078,-87.0
1079,-85.0
1080,-85.0
1081,-84.0
1082,-84.0
1083,-86.0
1084,-85.0
1085,-86.0
1086,-86.0
1087,-85.0
1088,-86.0
1089,-85.0
1090,-84.0
1091,-86.0
1092,-84.0
1093,-90.0
1094,-87.0
1095,-87.0
1096,-87.0
1097,-86.0
1098,-84.0
1099,-84.0
1100,-86.0
1101,-86.0
1102,-85.0
1103,-86.0
1104,-86.0
1105,-84.0
1106,-85.0
1107,-85.0
1108,-85.0
1109,-84.0
1110,-86.0
1111,-85.0
1112,-85.0
1113,-85.0
1114,-85.0
1115,-85.0
1116,-83.0
1117,-86.0
1118,-84.0
1119,-85.0
1120,-85.0
1121,-86.0
1122,-88.0
1123,-86.0
1124,-87.0
1125,-87.0
1126,-87.0
1127,-87.0
1128,-88.0
1129,-88.0
1130,-87.0
1131,-87.0
1132,-88.0
1133,-88.0
1134,-88.0
1135,-88.0
1136,-88.0
1137,-88.0
1138,-88.0
1139,-88.0
1140,-88.0
1141,-87.0
1142,-88.0
1143,-87.0
1144,-89.0
1145,-87.0
1146,-87.0
1147,-87.0
1148,-86.0
1149,-85.0
1150,-86.0
1151,-85.0
1152,-85.0
1153,-86.0
1154,-85.0
1155,-85.0
1156,-85.0
1157,-85.0
1158,-85.0
1159,-84.0
1160,-84.0
1161,-84.0
1162,-84.0
1163,-83.0
1164,-84.0
1165,-83.0
1166,-81.0
1167,-81.0
1168,-84.0
1169,-84.0
1170,-81.0
1171,-82.0
1172,-83.0
1173,-83.0
1174,-83.0
1175,-82.0
1176,-84.0
1177,-81.0
1178,-79.0
1179,-82.0
1180,-82.0
1181,-83.0
1182,-84.0
1183,-83.0
1184,-83.0
1185,-84.0
1186,-83.0
1187,-81.0
1188,-82.0
1189,-80.0
1190,-80.0
1191,-80.0
1192,-80.0
1193,-80.0
1194,-80.0
1195,-81.0
